Space Invaders ;Nintendo;Nov-97
Space Megaforce;Toho;Oct-92
Spanky's Quest;Natsume;Jul-92
Sparkster;Konami;Oct-94
Spawn;Acclaim;Oct-95
Spectre;Cybersoft;May-94
Speed Racer: In My Most Dangerous Adventures;Accolade;Nov-94
Speedy Gonzales: Los Gatos Bandidos;Majesco;Aug-95
Spider-Man & Venom: Maximum Carnage ;Acclaim;Sep-94
Spider-Man & Venom: Separation Anxiety;Acclaim;Nov-95
Spider-Man & X-Men: Arcade's Revenge;Majesco;Nov-92
Spider-Man: The Animated Series;Acclaim;Feb-95
Spindizzy Worlds;Ascii;Mar-93
"Sporting News Baseball, The";Hudson Soft;Jun-95
Sports Illustrated: Championship Football & Baseball;Malibu Games;Feb-94
Star Fox;Nintendo;Mar-93
Star Trek: Deep Space Nine - Crossroads of Time;Playmates;Sep-95
Star Trek: Starfleet Academy (Starship Bridge Simulator);Interplay;Dec-94
Star Trek: The Next Generation;Spectrum Holobyte;Mar-94
Stargate;Acclaim;Apr-95
Steel Talons;Left Field Ent.;Nov-93
Sterling Sharpe: End 2 End;Jaleco;Mar-95
Stone Protectors;Kemco;Nov-94
Street Combat;Irem;Apr-93
Street Fighter Alpha 2;Nintendo;Nov-96
Street Fighter II Turbo: Hyper Fighting;Capcom;Aug-93
Street Fighter II: The World Warrior ;Majesco;Jul-92
Street Hockey '95;GTE;Nov-94
Street Racer;UBI Soft;Dec-94
Strike Gunner: S.T.G.;NTVIC;Aug-92
Stunt Race FX;Nintendo;Jul-94
Sunset Riders;Konami;Oct-93
Super Adventure Island ;Hudson Soft;Apr-92
Super Adventure Island II ;Hudson Soft;Oct-94
"Super Aquatic Games Starring The Aquabats, The";Seika;Oct-93
Super Baseball 2020;Tradewest;Jul-93
Super Baseball Simulator 1.000;Culture Brain;Dec-91
Super Bases Loaded ;Jaleco;Sep-91
Super Bases Loaded 2 ;Jaleco;Feb-94
Super Bases Loaded 3: License to Steal;Jaleco;Feb-95
Super Batter Up;Namco;Oct-92
Super Battleship;Majesco ;Nov-93
Super Battletank 2: War in the Gulf ;Absolute;Jan-94
Super Battletank: War in the Gulf;Absolute;Jun-92
Super Black Bass;Majesco;May-93
Super Bomberman;Hudson Soft;Sep-93
Super Bomberman 2 ;Nintendo;Sep-94
Super Bonk;Hudson Soft;Nov-94
Super Bowling;American Technos;Sep-92
Super Buster Bros.;Capcom;Oct-92
Super Caesars Palace;Majesco;Oct-93
Super Castlevania IV ;Konami;Dec-91
Super Chase HQ;Taito Software;Dec-93
Super Conflict: The Mideast;Vic Tokai;Mar-93
Super Double Dragon ;Tradewest;Oct-92
Super E.D.F.: Earth Defense Force ;Jaleco;Jan-92
Super Empire Strikes Back ;Majesco;Oct-93
Super Ghouls 'N Ghosts;Capcom;Nov-91
Super Goal! Two ;Jaleco;Apr-94
Super Godzilla;Toho;Jul-94
Super High Impact;Acclaim;Jun-93
Super James Pond;American Softworks;Jul-93
Super Mario All-Stars ;Nintendo;Aug-93
Super Mario Kart ;Nintendo;Sep-92
Super Mario RPG: Legend of the Seven Stars;Nintendo;May-96
Super Mario World ;Nintendo;Aug-91
Super Metroid;Nintendo;Apr-94
Super Ninja Boy;Culture Brain;Apr-93
Super Nova;Taito Software;Dec-93
Super Off Road;Tradewest;Dec-91
Super Off Road: The Baja;Tradewest;Sep-93
Super Pinball: Behind the Mask;Nintendo;Nov-94
Super Play Action Football;Nintendo;Aug-92
Super Punch-Out!!;Nintendo;Oct-94
Super Putty;US Gold;Nov-93
Super RBI Baseball;Time Warner;Jun-95
Super Return of the Jedi ;Majesco;Oct-94
Super R-Type;Irem;Sep-91
Super Slam Dunk;Virgin Interactive;Jul-93
Super Slap Shot;Virgin Interactive;Aug-93
Super Smash T.V.;Acclaim;Feb-92
Super Soccer;Nintendo;May-92
Super Soccer Champ;Taito Software;Jun-92
Super Solitaire;Extreme;Jan-94
Super Star Wars ;Nintendo;Nov-92
Super Street Fighter II: The New Challengers;Capcom;Jun-94
Super Strike Eagle;Microprose;Mar-93
Super Tennis;Nintendo;Nov-91
Super Troll Islands;American Softworks;Feb-94
Super Turrican;Seika;May-93
Super Turrican 2;Ocean;Nov-95
Super Valis IV ;Atlus Software;Feb-93
Super Widget;Atlus Software;Sep-93
Suzuka 8 Hours;Namco;May-94
"Syndicate, The";Ocean;Dec-95
T2: The Arcade Game ;Majesco;Feb-94
Taz-Mania;Majesco;May-93
Tecmo Secret of the Stars;Tecmo;Jul-95
Tecmo Super Baseball;Tecmo;Sep-94
Tecmo Super Bowl;Tecmo;Nov-93
Tecmo Super Bowl II: Special Edition;Tecmo;Jan-95
Tecmo Super Bowl III: The Final Edition;Tecmo;Oct-95
